model_name,model_version,condition_shots,TP,FP,FN,precision,recall,f1,pred_events
ChatGPT,GPT-4o,0,96,104,189,0.48,0.3368,0.3959,206
ChatGPT,GPT-4o,1,114,128,171,0.4711,0.4,0.4326,246
ChatGPT,GPT-4o,3,104,136,181,0.4333,0.3649,0.3962,242
ChatGPT,GPT-4o,5,105,144,180,0.4217,0.3684,0.3933,252
ChatGPT,GPT5,0,90,118,195,0.4327,0.3158,0.3651,213
ChatGPT,GPT5,1,119,124,166,0.4897,0.4175,0.4508,250
ChatGPT,GPT5,3,112,138,173,0.448,0.393,0.4187,256
ChatGPT,GPT5,5,99,160,186,0.3822,0.3474,0.364,262
DeepSeek,,0,82,102,203,0.4457,0.2877,0.3497,192
DeepSeek,,1,98,149,187,0.3968,0.3439,0.3684,254
DeepSeek,,3,84,124,201,0.4038,0.2947,0.3408,212
DeepSeek,,5,83,140,202,0.3722,0.2912,0.3268,226
Gemini,,0,64,118,221,0.3516,0.2246,0.2741,192
Gemini,,1,109,121,176,0.4739,0.3825,0.4233,235
Gemini,,3,68,184,217,0.2698,0.2386,0.2533,257
Gemini,,5,93,153,192,0.378,0.3263,0.3503,247
