chunk_id,status,parsed_events,heuristic_events,file,line
TST_0001,OK,8,8,llm_test_gen.jsonl,38
TST_0002,OK,12,12,llm_test_gen.jsonl,202
TST_0003,OK,3,3,llm_test_gen.jsonl,249
TST_0004,OK,9,9,llm_test_gen.jsonl,260
TST_0005,OK,3,3,llm_test_gen.jsonl,475
TST_0006,OK,2,2,llm_test_gen.jsonl,1034
TST_0007,OK,4,4,llm_test_gen.jsonl,1227
TST_0008,OK,4,4,llm_test_gen.jsonl,1420
TST_0009,OK,3,3,llm_test_gen.jsonl,2426
TST_0010,OK,8,8,llm_test_gen.jsonl,2493
TST_0011,OK,6,6,llm_test_gen.jsonl,2769
TST_0012,OK,5,5,llm_test_gen.jsonl,2847
TST_0013,OK,5,5,llm_test_gen.jsonl,3179
TST_0014,OK,5,5,llm_test_gen.jsonl,3247
TST_0015,OK,1,1,llm_test_gen.jsonl,3513
TST_0016,OK,3,3,llm_test_gen.jsonl,3518
TST_0017,OK,3,3,llm_test_gen.jsonl,3555
TST_0018,OK,3,3,llm_test_gen.jsonl,4056
TST_0019,OK,6,6,llm_test_gen.jsonl,4111
TST_0020,OK,2,2,llm_test_gen.jsonl,4380
TST_0021,OK,3,3,llm_test_gen.jsonl,4471
TST_0022,OK,1,1,llm_test_gen.jsonl,4646
TST_0023,OK,1,1,llm_test_gen.jsonl,4693
TST_0024,OK,9,9,llm_test_gen.jsonl,4726
TST_0025,OK,9,9,llm_test_gen.jsonl,4806
TST_0026,OK,7,7,llm_test_gen.jsonl,4901
TST_0027,OK,4,4,llm_test_gen.jsonl,5844
TST_0028,OK,2,2,llm_test_gen.jsonl,6177
TST_0029,OK,5,5,llm_test_gen.jsonl,6356
TST_0030,OK,4,4,llm_test_gen.jsonl,6397
TST_0031,OK,2,2,llm_test_gen.jsonl,6401
TST_0032,OK,5,5,llm_test_gen.jsonl,7173
TST_0033,OK,2,2,llm_test_gen.jsonl,7283
TST_0034,OK,6,6,llm_test_gen.jsonl,7477
TST_0035,OK,7,7,llm_test_gen.jsonl,7503
TST_0036,OK,4,4,llm_test_gen.jsonl,7790
TST_0037,OK,2,2,llm_test_gen.jsonl,7930
TST_0038,OK,4,4,llm_test_gen.jsonl,7995
TST_0039,OK,8,8,llm_test_gen.jsonl,8103
TST_0040,OK,9,9,llm_test_gen.jsonl,8176
TST_0041,OK,3,3,llm_test_gen.jsonl,8524
TST_0042,OK,5,5,llm_test_gen.jsonl,8579
TST_0043,OK,3,3,llm_test_gen.jsonl,8867
VAL_0001,OK,7,7,llm_valid_gen.jsonl,523
VAL_0002,OK,2,2,llm_valid_gen.jsonl,778
VAL_0003,OK,1,1,llm_valid_gen.jsonl,832
VAL_0004,OK,5,5,llm_valid_gen.jsonl,892
VAL_0005,OK,1,1,llm_valid_gen.jsonl,973
VAL_0006,OK,5,5,llm_valid_gen.jsonl,1440
VAL_0007,OK,2,2,llm_valid_gen.jsonl,1586
VAL_0008,OK,2,2,llm_valid_gen.jsonl,1668
VAL_0009,OK,2,2,llm_valid_gen.jsonl,2076
VAL_0010,OK,3,3,llm_valid_gen.jsonl,2197
VAL_0011,OK,4,4,llm_valid_gen.jsonl,2263
VAL_0012,OK,5,5,llm_valid_gen.jsonl,2271
VAL_0013,OK,1,1,llm_valid_gen.jsonl,2479
VAL_0014,OK,1,1,llm_valid_gen.jsonl,2998
VAL_0015,OK,2,2,llm_valid_gen.jsonl,3313
VAL_0016,OK,3,3,llm_valid_gen.jsonl,3602
VAL_0017,OK,1,1,llm_valid_gen.jsonl,3703
VAL_0018,OK,2,2,llm_valid_gen.jsonl,4123
VAL_0019,OK,3,3,llm_valid_gen.jsonl,4532
VAL_0020,OK,1,1,llm_valid_gen.jsonl,4736
VAL_0021,OK,2,2,llm_valid_gen.jsonl,4778
VAL_0022,OK,4,4,llm_valid_gen.jsonl,4880
VAL_0023,OK,3,3,llm_valid_gen.jsonl,5122
VAL_0024,OK,3,3,llm_valid_gen.jsonl,5157
VAL_0026,OK,1,1,llm_valid_gen.jsonl,5594
VAL_0027,OK,3,3,llm_valid_gen.jsonl,5751
VAL_0028,OK,4,4,llm_valid_gen.jsonl,5929
VAL_0030,OK,1,1,llm_valid_gen.jsonl,6416
VAL_0031,OK,2,2,llm_valid_gen.jsonl,6482
VAL_0032,OK,2,2,llm_valid_gen.jsonl,6992
VAL_0033,OK,2,2,llm_valid_gen.jsonl,7278
VAL_0034,OK,2,2,llm_valid_gen.jsonl,7603
VAL_0035,OK,1,1,llm_valid_gen.jsonl,7914
VAL_0036,OK,3,3,llm_valid_gen.jsonl,7963
VAL_0037,OK,2,2,llm_valid_gen.jsonl,8003
VAL_0025,WARN_NO_PARSED_EVENTS,0,1,llm_valid_gen.jsonl,5570
VAL_0029,WARN_NO_PARSED_EVENTS,0,1,llm_valid_gen.jsonl,6325
